conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
11718	1561	374	523	212
13002	1838	236	541	227
23028	1357	394	490	384
25051	2135	380	1151	290
23577	1672	436	747	243
32508	2582	1430	471	323
31283	2148	1008	477	227
39830	2640	1095	446	229
33640	1801	966	517	332
25931	2243	618	513	267
17682	1619	363	482	247
24291	2497	1314	595	321
23539	1800	1042	401	234
21364	2359	943	491	248
13644	1515	586	1484	323
14726	1476	184	2739	341
20144	1649	498	1046	246
19807	2603	886	468	388
16873	1520	654	509	216
11488	1871	498	482	290
14466	1603	271	792	339
26360	2644	581	9082	386
28552	2127	457	3553	331
30899	2405	1337	762	367
25834	1798	644	416	265
23085	1785	544	388	273
24927	2609	1055	510	400
23223	1626	854	2795	361
23525	2285	879	1097	382
22750	3012	1758	664	321
25623	1642	925	573	280
25482	2388	826	483	278
25110	2179	1008	619	369
26279	2527	1107	1152	320
21599	1721	761	860	272
21027	2847	1326	598	418
18091	1690	639	549	256
13633	1894	659	534	236
12933	1949	786	469	326
13311	2090	585	1262	273
11973	1342	463	1028	317
14774	2483	1353	1090	276
13758	2251	675	990	242
14996	2012	574	794	291
20375	2329	982	865	430
13874	1999	780	812	373
14363	2316	696	922	353
14092	2594	1457	1007	378
13343	2015	826	848	418
13036	2246	931	1315	195
13942	2386	862	1224	348
14936	2232	755	3888	371
13032	1999	818	1627	366
12860	2829	900	1073	394
15563	1749	415	996	268
13989	2065	423	1010	280
13935	1468	317	1023	345
19998	3064	417	9310	312
14177	1733	175	3819	314
10995	2329	732	782	368
10822	1502	342	672	287
10838	1401	198	448	299
11307	1661	440	485	384
25473	2254	663	2659	382
11609	2190	686	1063	284
10976	2308	1030	548	375
10919	1866	299	503	251
20398	1939	716	445	277
26451	2519	1140	542	403
15130	1923	720	1017	361
10324	1798	541	759	313
10948	1966	800	763	392
10291	2224	528	691	317
20935	3124	1910	1131	390
18350	4258	2969	688	603
11023	2260	867	818	395
17987	2081	934	800	580
20370	3231	1179	630	524
21649	2484	934	702	422
19890	2763	940	1488	547
15800	2357	657	639	668
11035	2813	766	662	603
10700	2284	374	644	315
13059	2528	884	623	438
11281	2315	245	959	467
11134	2299	269	658	310
10999	2295	549	555	367
23459	2422	482	2412	324
23881	2177	399	1380	307
23684	2829	1078	563	337
14281	2032	247	681	216
11025	1620	186	696	250
10092	1606	289	867	354
18367	3262	343	8079	273
14326	1745	122	4455	239
11192	2120	583	912	336
10373	1866	129	589	233
10066	1502	119	552	228
10237	1843	122	564	322
11732	1844	201	1767	331
10523	1233	87	2127	228
11645	2112	577	525	335
11121	1776	328	625	220
10258	1419	235	681	245
10771	1862	149	666	313
10630	1790	93	1072	283
9606	1746	332	718	298
9933	2156	496	776	363
12086	1908	217	556	232
10151	1373	224	627	249
10235	1875	251	517	308
10510	1688	128	870	304
23840	1177	81	711	250
27261	1833	427	593	353
26131	1555	161	565	224
26409	1238	58	411	237
27544	1649	87	696	299
26805	1673	63	486	303
26810	1226	138	514	242
28125	2009	509	523	315
18680	1716	186	492	201
10135	1504	94	480	252
10362	1471	81	558	308
12208	1774	97	2449	278
12645	1670	81	1451	280
10576	2220	549	566	337
9838	1616	183	509	209
9546	1698	164	591	233
9816	1580	54	803	299
17578	2573	261	7968	275
14241	1996	84	4430	252
11167	2158	627	613	317
9186	1344	112	473	228
9849	1565	86	427	234
10216	1675	128	441	330
11115	1709	168	2557	277
